100,5
26,48,39,39,50,0
40,76,77,66,53,0
86,31,38,2,68,0
61,24,15,69,75,0
20,46,68,80,10,1
32,14,77,42,24,0
20,19,85,26,28,0
37,37,7,95,81,0
16,47,33,36,59,0
79,4,91,2,39,0
2,54,94,67,23,0
63,48,14,73,45,0
14,32,91,61,48,0
38,66,84,27,21,0
9,8,75,81,91,0
21,72,86,83,37,0
80,22,64,52,64,1
58,18,48,54,28,1
26,21,34,15,55,0
82,23,58,52,31,0
96,22,29,10,19,0
53,26,40,43,1,0
98,22,77,12,27,0
46,55,36,68,6,0
73,54,47,18,85,0
5,56,10,86,29,0
40,52,41,67,49,0
69,69,38,65,89,0
3,24,51,49,55,0
7,52,65,16,72,0
33,93,38,83,5,0
82,14,35,38,15,0
23,9,68,8,58,0
93,57,36,96,33,0
60,33,42,97,40,0
59,85,3,74,79,0
96,96,98,62,41,0
50,18,44,14,4,1
56,60,34,24,41,0
98,84,93,70,23,0
31,44,19,85,83,0
85,90,52,20,93,0
73,85,47,54,62,0
31,50,18,68,99,0
46,47,8,99,73,0
74,70,71,32,61,0
76,47,70,95,63,0
68,68,80,19,87,0
88,96,80,15,55,0
72,38,61,27,86,0
46,81,91,73,40,0
44,46,88,75,11,0
54,63,22,31,10,0
25,53,51,20,62,0
94,78,85,36,58,0
44,11,53,2,85,0
76,51,50,35,33,0
44,83,65,64,72,0
34,12,1,15,91,0
57,55,5,35,48,0
9,28,49,18,49,0
84,71,6,39,28,0
43,78,95,83,66,0
82,56,63,35,69,0
88,57,25,7,4,0
38,70,84,56,91,0
99,24,42,14,40,0
69,60,3,29,69,0
60,68,2,36,45,0
27,73,55,55,14,0
39,73,15,68,87,0
95,22,93,67,64,0
14,74,77,24,89,0
15,93,60,27,74,0
10,92,58,22,49,0
23,40,25,62,56,0
22,58,81,98,63,0
54,77,13,59,17,0
41,10,20,46,42,0
93,88,17,74,9,0
68,29,36,73,44,0
22,22,36,51,31,0
53,51,89,59,62,0
43,89,60,93,99,0
93,5,48,68,47,0
32,92,12,91,63,0
22,90,90,35,31,0
98,64,58,1,52,0
10,67,70,40,10,0
38,20,87,4,43,0
55,0,82,17,35,0
32,71,51,91,77,0
70,88,22,77,67,0
19,36,93,31,60,0
74,55,55,15,51,0
4,54,76,27,3,0
7,7,27,44,99,0
80,87,85,23,31,0
40,89,41,24,29,0
92,13,66,25,64,0
